//V	Name	X	Y	st	e	l	Demand
Depot	0	4.74	5.5	0	0.0	120.0	0
Vertice	1	2.81	3.31	5.0	0.0	120.0	2
Vertice	2	1.62	4.23	6.0	60.0	120.0	5
Vertice	3	3.81	5.11	4.0	60.0	120.0	3
Vertice	4	9.99	8.44	6.0	60.0	120.0	3
Vertice	5	4.5	9.35	6.0	0.0	60.0	3
Vertice	6	7.46	2.04	5.0	60.0	120.0	5
Vertice	7	1.23	2.15	5.0	30.0	120.0	5
Vertice	8	4.83	3.59	5.0	30.0	90.0	4
Vertice	9	3.02	9.14	5.0	30.0	90.0	4
Vertice	10	8.18	7.62	5.0	30.0	90.0	2

//Arc	From	To	Dist	t	f
Arc	0	1	2.92	14.6	36.5
Arc	0	2	3.37	16.85	42.125
Arc	0	3	1.01	5.05	12.625
Arc	0	4	6.02	30.1	75.25
Arc	0	5	3.86	19.3	48.25
Arc	0	6	4.4	22.0	55.0
Arc	0	7	4.85	24.25	60.625
Arc	0	8	1.91	9.55	23.875
Arc	0	9	4.03	20.15	50.375
Arc	0	10	4.04	20.2	50.5
Arc	1	2	1.5	7.5	18.75
Arc	1	3	2.06	10.3	25.75
Arc	1	4	8.82	44.1	110.25
Arc	1	5	6.27	31.35	78.375
Arc	1	6	4.82	24.1	60.25
Arc	1	7	1.96	9.8	24.5
Arc	1	8	2.04	10.2	25.5
Arc	1	9	5.83	29.15	72.875
Arc	1	10	6.89	34.45	86.125
Arc	2	3	2.36	11.8	29.5
Arc	2	4	9.37	46.85	117.125
Arc	2	5	5.87	29.35	73.375
Arc	2	6	6.24	31.2	78.0
Arc	2	7	2.12	10.6	26.5
Arc	2	8	3.27	16.35	40.875
Arc	2	9	5.11	25.55	63.875
Arc	2	10	7.38	36.9	92.25
Arc	3	4	7.02	35.1	87.75
Arc	3	5	4.3	21.5	53.75
Arc	3	6	4.77	23.85	59.625
Arc	3	7	3.93	19.65	49.125
Arc	3	8	1.83	9.15	22.875
Arc	3	9	4.11	20.55	51.375
Arc	3	10	5.04	25.2	63.0
Arc	4	5	5.56	27.8	69.5
Arc	4	6	6.88	34.4	86.0
Arc	4	7	10.78	53.9	134.75
Arc	4	8	7.08	35.4	88.5
Arc	4	9	7.01	35.05	87.625
Arc	4	10	1.99	9.95	24.875
Arc	5	6	7.89	39.45	98.625
Arc	5	7	7.91	39.55	98.875
Arc	5	8	5.77	28.85	72.125
Arc	5	9	1.49	7.45	18.625
Arc	5	10	4.07	20.35	50.875
Arc	6	7	6.23	31.15	77.875
Arc	6	8	3.05	15.25	38.125
Arc	6	9	8.37	41.85	104.625
Arc	6	10	5.63	28.15	70.375
Arc	7	8	3.88	19.4	48.5
Arc	7	9	7.22	36.1	90.25
Arc	7	10	8.84	44.2	110.5
Arc	8	9	5.84	29.2	73.0
Arc	8	10	5.24	26.2	65.5
Arc	9	10	5.38	26.9	67.25

//Opt	Name	Value
Option	C_DV	15.0
Option	b	5.0
Option	F	100.0
Option	T_SV	120.0
Option	T_DV	120.0
Option	c	100.0
