Name;Number of Customers;Duration;isSolved;Gap;with SVs;Objective;isInfeasible;isFuel;isFreight;Date
N6-C_DV100-C_SV30_F6_0_No_1;6;0,66;WAHR;0;WAHR;2173,7;FALSCH;WAHR;FALSCH;2015.06.20 - 12:03:57
N6-C_DV100-C_SV30_F6_1_No_1;6;0,33;WAHR;0;FALSCH;2147,12;FALSCH;WAHR;FALSCH;2015.06.20 - 12:03:57
N6-C_DV100-C_SV30_F6_10_No_1;6;0,55;WAHR;0;FALSCH;2156,77;FALSCH;WAHR;FALSCH;2015.06.20 - 12:03:57
N6-C_DV100-C_SV30_F6_11_No_1;6;0,28;WAHR;0;FALSCH;2136,83;FALSCH;WAHR;FALSCH;2015.06.20 - 12:03:58
N6-C_DV100-C_SV30_F6_12_No_1;6;0,58;WAHR;0;FALSCH;3203,1;FALSCH;WAHR;FALSCH;2015.06.20 - 12:03:58
N6-C_DV100-C_SV30_F6_13_No_1;6;0,34;WAHR;0;FALSCH;3194,91;FALSCH;WAHR;FALSCH;2015.06.20 - 12:03:59
N6-C_DV100-C_SV30_F6_14_No_1;6;0,27;WAHR;0;FALSCH;2161,5;FALSCH;WAHR;FALSCH;2015.06.20 - 12:03:59
N6-C_DV100-C_SV30_F6_2_No_1;6;0,27;WAHR;0;FALSCH;2111,27;FALSCH;WAHR;FALSCH;2015.06.20 - 12:03:59
N6-C_DV100-C_SV30_F6_3_No_1;6;0,3;WAHR;0;FALSCH;2131,88;FALSCH;WAHR;FALSCH;2015.06.20 - 12:04:00
N6-C_DV100-C_SV30_F6_4_No_1;6;0,41;WAHR;0;FALSCH;2130,94;FALSCH;WAHR;FALSCH;2015.06.20 - 12:04:00
N6-C_DV100-C_SV30_F6_5_No_1;6;0,3;WAHR;0;FALSCH;2093,41;FALSCH;WAHR;FALSCH;2015.06.20 - 12:04:00
N6-C_DV100-C_SV30_F6_6_No_1;6;0,56;WAHR;0;FALSCH;3171,15;FALSCH;WAHR;FALSCH;2015.06.20 - 12:04:01
N6-C_DV100-C_SV30_F6_7_No_1;6;0,06;WAHR;0;FALSCH;2127,95;FALSCH;WAHR;FALSCH;2015.06.20 - 12:04:01
N6-C_DV100-C_SV30_F6_8_No_1;6;0,28;WAHR;0;FALSCH;2118,19;FALSCH;WAHR;FALSCH;2015.06.20 - 12:04:02
N6-C_DV100-C_SV30_F6_9_No_1;6;1,08;WAHR;0;FALSCH;3179,03;FALSCH;WAHR;FALSCH;2015.06.20 - 12:04:03
N8-C_DV100-C_SV30_F6_0_No_1;8;13,32;WAHR;0;FALSCH;3212,61;FALSCH;WAHR;FALSCH;2015.06.20 - 12:04:16
N8-C_DV100-C_SV30_F6_1_No_1;8;2,93;WAHR;0;FALSCH;3192,73;FALSCH;WAHR;FALSCH;2015.06.20 - 12:04:19
N8-C_DV100-C_SV30_F6_10_No_1;8;5,71;WAHR;0;FALSCH;3237,89;FALSCH;WAHR;FALSCH;2015.06.20 - 12:04:25
