//V	Name	X	Y	st	e	l	Demand
Depot	d0	32.0	21.0	0	0.0	100.0	0
Vertice	c1	10.0	16.0	7.0	70.0	85.0	4
Vertice	c2	41.0	18.0	5.0	0.0	100.0	3
Vertice	c3	32.0	36.0	11.0	25.0	40.0	7
Vertice	c4	23.0	15.0	2.0	50.0	65.0	6
Vertice	c5	29.0	42.0	1.0	25.0	40.0	5

//Arc	From	To	Dist	t	f
Arc	c3	c4	22.85	5.7125	1.5287
Arc	c3	c5	6.71	1.6775	0.4489
Arc	c4	c5	27.66	6.915	1.8505
Arc	d0	c3	15.0	3.75	1.0035
Arc	d0	c4	10.82	2.705	0.7239
Arc	d0	c5	21.21	5.3025	1.4189
Arc	d0	c1	22.56	5.64	1.5093
Arc	d0	c2	9.49	2.3725	0.6349
Arc	c1	c3	29.73	7.4325	1.9889
Arc	c1	c4	13.04	3.26	0.8724
Arc	c1	c5	32.2	8.05	2.1542
Arc	c1	c2	31.06	7.765	2.0779
Arc	c2	c3	20.12	5.03	1.346
Arc	c2	c4	18.25	4.5625	1.2209
Arc	c2	c5	26.83	6.7075	1.7949

//Opt	Name	Value
Option	C_SV	50.0
Option	C_DV	10.0
Option	b	8.0
Option	c	1000.0
Option	F	12.0
Option	T_SV	100.0
Option	T_DV	100.0
