//V	Name	X	Y	st	e	l	Demand
Depot	d0	150000	310000	0	0	1000000	0
Vertice	c1	400000	100000	70000	100000	250000	40000
Vertice	c2	380000	130000	40000	450000	600000	60000
Vertice	c3	50000	270000	20000	50000	200000	70000
Vertice	c4	390000	400000	50000	0	1000000	60000
Vertice	c5	130000	420000	40000	250000	400000	20000
Vertice	c6	380000	160000	100000	450000	600000	10000
Vertice	c7	350000	30000	50000	300000	450000	20000
Vertice	c8	350000	440000	40000	300000	450000	50000
Vertice	c9	50000	320000	40000	500000	650000	30000
Vertice	c10	440000	340000	50000	0	1000000	50000

//Arc	From	To	Dist	t	f
Arc	c3	c4	364000	91000	24352
Arc	c3	c5	170000	42500	11373
Arc	c3	c6	347900	86975	23275
Arc	c3	c10	396200	99050	26506
Arc	c3	c7	384200	96050	25703
Arc	c3	c8	344800	86200	23067
Arc	c3	c9	50000	12500	3345
Arc	c4	c5	260800	65200	17448
Arc	c4	c6	240200	60050	16069
Arc	c4	c10	78100	19525	5225
Arc	c4	c7	372200	93050	24900
Arc	c4	c8	56600	14150	3787
Arc	c4	c9	349300	87325	23368
Arc	c5	c6	360700	90175	24131
Arc	c5	c10	320200	80050	21421
Arc	c5	c7	447800	111950	29958
Arc	c5	c8	220900	55225	14778
Arc	c5	c9	128100	32025	8570
Arc	c6	c10	189700	47425	12691
Arc	c6	c7	133400	33350	8924
Arc	c6	c8	281600	70400	18839
Arc	c6	c9	366700	91675	24532
Arc	c7	c10	322800	80700	21595
Arc	c7	c8	410000	102500	27429
Arc	c7	c9	417300	104325	27917
Arc	c8	c10	134500	33625	8998
Arc	c8	c9	323100	80775	21615
Arc	c9	c10	390500	97625	26124
Arc	d0	c3	107700	26925	7205
Arc	d0	c4	256300	64075	17146
Arc	d0	c5	111800	27950	7479
Arc	d0	c6	274600	68650	18371
Arc	d0	c10	291500	72875	19501
Arc	d0	c7	344100	86025	23020
Arc	d0	c8	238500	59625	15956
Arc	d0	c9	100500	25125	6723
Arc	d0	c1	326500	81625	21843
Arc	d0	c2	292100	73025	19541
Arc	c1	c3	389100	97275	26031
Arc	c1	c4	300200	75050	20083
Arc	c1	c5	418700	104675	28011
Arc	c1	c6	63200	15800	4228
Arc	c1	c10	243300	60825	16277
Arc	c1	c7	86000	21500	5753
Arc	c1	c8	343700	85925	22994
Arc	c1	c9	413400	103350	27656
Arc	c1	c2	36100	9025	2415
Arc	c2	c3	358500	89625	23984
Arc	c2	c4	270200	67550	18076
Arc	c2	c5	382900	95725	25616
Arc	c2	c6	30000	7500	2007
Arc	c2	c10	218400	54600	14611
Arc	c2	c7	104400	26100	6984
Arc	c2	c8	311400	77850	20833
Arc	c2	c9	380800	95200	25476

//Opt	Name	Value
Option	C_SV	250000
Option	C_DV	1000000
Option	b	80000
Option	c	10000000
Option	F	50000
Option	T_SV	1000000
Option	T_DV	1000000
