//V	Name	X	Y	st	e	l	Demand
Depot	0	4.74	5.5	0	0.0	120.0	0
Vertice	1	2.81	3.31	5.0	0.0	120.0	2
Vertice	2	1.62	4.23	6.0	60.0	120.0	5
Vertice	3	3.81	5.11	4.0	60.0	120.0	3
Vertice	4	9.99	8.44	6.0	60.0	120.0	3
Vertice	5	4.5	9.35	6.0	0.0	60.0	3
Vertice	6	7.46	2.04	5.0	60.0	120.0	5
Vertice	7	1.23	2.15	5.0	30.0	120.0	5
Vertice	8	4.83	3.59	5.0	30.0	90.0	4
Vertice	9	3.02	9.14	5.0	30.0	90.0	4
Vertice	10	8.18	7.62	5.0	30.0	90.0	2

//Arc	From	To	Dist	t	f
Arc	0	1	2.92	14.6	25.55
Arc	0	2	3.37	16.85	29.4875
Arc	0	3	1.01	5.05	8.8375
Arc	0	4	6.02	30.1	52.675
Arc	0	5	3.86	19.3	33.775
Arc	0	6	4.4	22.0	38.5
Arc	0	7	4.85	24.25	42.4375
Arc	0	8	1.91	9.55	16.7125
Arc	0	9	4.03	20.15	35.2625
Arc	0	10	4.04	20.2	35.35
Arc	1	2	1.5	7.5	13.125
Arc	1	3	2.06	10.3	18.025
Arc	1	4	8.82	44.1	77.175
Arc	1	5	6.27	31.35	54.8625
Arc	1	6	4.82	24.1	42.175
Arc	1	7	1.96	9.8	17.15
Arc	1	8	2.04	10.2	17.85
Arc	1	9	5.83	29.15	51.0125
Arc	1	10	6.89	34.45	60.2875
Arc	2	3	2.36	11.8	20.65
Arc	2	4	9.37	46.85	81.9875
Arc	2	5	5.87	29.35	51.3625
Arc	2	6	6.24	31.2	54.6
Arc	2	7	2.12	10.6	18.55
Arc	2	8	3.27	16.35	28.6125
Arc	2	9	5.11	25.55	44.7125
Arc	2	10	7.38	36.9	64.575
Arc	3	4	7.02	35.1	61.425
Arc	3	5	4.3	21.5	37.625
Arc	3	6	4.77	23.85	41.7375
Arc	3	7	3.93	19.65	34.3875
Arc	3	8	1.83	9.15	16.0125
Arc	3	9	4.11	20.55	35.9625
Arc	3	10	5.04	25.2	44.1
Arc	4	5	5.56	27.8	48.65
Arc	4	6	6.88	34.4	60.2
Arc	4	7	10.78	53.9	94.325
Arc	4	8	7.08	35.4	61.95
Arc	4	9	7.01	35.05	61.3375
Arc	4	10	1.99	9.95	17.4125
Arc	5	6	7.89	39.45	69.0375
Arc	5	7	7.91	39.55	69.2125
Arc	5	8	5.77	28.85	50.4875
Arc	5	9	1.49	7.45	13.0375
Arc	5	10	4.07	20.35	35.6125
Arc	6	7	6.23	31.15	54.5125
Arc	6	8	3.05	15.25	26.6875
Arc	6	9	8.37	41.85	73.2375
Arc	6	10	5.63	28.15	49.2625
Arc	7	8	3.88	19.4	33.95
Arc	7	9	7.22	36.1	63.175
Arc	7	10	8.84	44.2	77.35
Arc	8	9	5.84	29.2	51.1
Arc	8	10	5.24	26.2	45.85
Arc	9	10	5.38	26.9	47.075

//Opt	Name	Value
Option	C_DV	15.0
Option	C_SV	300.0
Option	b	5.0
Option	F	100.0
Option	T_SV	120.0
Option	T_DV	120.0
Option	c	100.0
